,Company Name,Company Category,Company Address,Company Locality,Company Phone Number,Company Fax Number,Company Website,Company Email
190,"Quality Hardwoods, Ltd. ",Distribution/Concentration Yard,,"Powassan, ON",(705)724-2424 (800)263-3249 ,(705)724-6053 ,,
191,R. J. Williams Inc. ,Distribution/Concentration Yard,,"Apalachin, NY",(607)687-1160 ,(607)687-1165 ,,
192,Rajala Companies ,Distribution/Concentration Yard,,"Bigfork, MN",(218)244-1996 ,,,jarajala@rajalacos.com 
193,"Ralph Hamel Forest Products, Inc. ",Distribution/Concentration Yard,,"Vesper, WI",(715)569-4186 ,(715)569-4868 ,,hfp@tds.net 
194,Randy D. Miller Lumber Co. ,Distribution/Concentration Yard,,"Millers Creek, NC",(336)973-7515 ,(336)973-7516 ,,
195,"Rayner & Rinn-Scott, Inc. ",Distribution/Concentration Yard,,"Bedford Park, IL",(708)458-8800 (800)221-6953 ,(708)458-8836 ,,
196,Reel Lumber Service ,Distribution/Concentration Yard,,"Anaheim, CA",(714)632-1988 ,(714)630-3190 ,,
197,Republic Lumber Co. ,Distribution/Concentration Yard,,"Pittsburgh, PA",(412)362-3511 ,,,republiclumber@hotmail.com 
198,Rex Lumber Company ,Distribution/Concentration Yard,,"Doswell, VA",(978)263-0055 ,(978)263-9806 ,,salesinfo@rexlumber.com 
199,Rex Lumber Company ,Distribution/Concentration Yard,,"South Windsor, CT",(978)263-0055 ,(978)263-9806 ,,salesinfo@rexlumber.com 
200,Rex Lumber Company ,Distribution/Concentration Yard,,"Acton, MA",(978)263-0055 (800)343-0567 ,(978)263-9806 ,,salesinfo@rexlumber.com 
201,Rex Lumber Company ,Distribution/Concentration Yard,,"Englishtown, NJ",(978)263-0055 ,(978)263-9806 ,,salesinfo@rexlumber.com 
202,"Robert Bury & Co., Ltd. ",Distribution/Concentration Yard,,"Brampton, ON",(905)790-2879 ,(905)790-0750 ,,salesbrampton@robertbury.com 
203,"Ron Baltzley Hardwoods, Inc. ",Distribution/Concentration Yard,,"Covington, PA",(570)659-5838 ,(570)659-5299 ,,
204,"Ron Jones Hardwood Sales, Inc. ",Distribution/Concentration Yard,,"Union City, PA",(814)438-7622 ,(814)438-2008 ,,sales@ronjoneshardwood.com 
205,Rugby Architectural Building Products ,Distribution/Concentration Yard,,"Gorham, ME",(207)887-2070 ,,,contact@rugbyabp.com 
206,Rugby Architectural Building Products ,Distribution/Concentration Yard,,"Stoughton, MA",(781)341-4092 (800)788-5568 ,7813410784 ,,contact@rugbyabp.com 
207,Rugby Architectural Building Products ,Distribution/Concentration Yard,,"Blakeslee, PA",(570)646-6724 ,,,contact@rugbyabp.com 
208,"Salamanca Lumber Company, Inc. ",Distribution/Concentration Yard,,"Salamanca, NY",(716)945-4810 ,(716)945-1531 ,,nickskudlarek@salamancalumber.com 
209,Saroyan Lumber Company ,Distribution/Concentration Yard,,"Huntington Park, CA",(323)589-5704 ,(323)589-2028 ,,
210,Schaller Hardwood Lumber Company ,Distribution/Concentration Yard,,"Poplar Bluff, MO",(573)785-1003 ,(573)785-6445 ,,
211,Sears Trostel Lumber Co. ,Distribution/Concentration Yard,,"Fort Collins, CO",(970)482-0222 (800)950-1928 ,(970)484-8520 ,,sales@sears-trostel.com 
212,"Select Hardwoods, Div. of Church & Church ",Distribution/Concentration Yard,,"Miller's Creek, NC",(336)838-1256 ,(336)838-0814 ,,
213,Sierra Forest Products ,Distribution/Concentration Yard,,"West Chicago, IL",(630)231-0450 ,(630)231-0454 ,,
214,Sierra Forest Products ,Distribution/Concentration Yard,,"Aurora, CO",(303)539-5894 ,(303)373-0482 ,,sales_denver@sierrafp.com 
215,Sierra Forest Products ,Distribution/Concentration Yard,,"Chino, CA",(909)591-9442 ,(909)591-9449 ,,sales_losangeles@sierrafp.com 
216,Sierra Forest Products ,Distribution/Concentration Yard,,"Kent, WA",(253)852-0070 ,(253)852-0404 ,,sales_seattle@sierrafp.com 
217,Sierra Forest Products ,Distribution/Concentration Yard,,"Salt Lake City, UT",(801)972-3377 ,(801)972-3397 ,,sales_saltlakecity@sierrafp.com 
218,"Simon Lussier, Ltd. ",Distribution/Concentration Yard,,"Blainville, QC",(450)435-6591 ,(450)435-2531 ,,mlussier@simonlussier.com 
219,"Sirianni Hardwoods, Inc. ",Distribution/Concentration Yard,,"Painted Post, NY",(607)962-4688 ,(607)936-6237 ,,info@siriannihardwoods.com 
220,"Specialty Hardwoods of Indiana, Inc. ",Distribution/Concentration Yard,,"Nappanee, IN",(574)773-7063 ,(574)773-7378 ,,
221,Sterling Lumber Company ,Distribution/Concentration Yard,,"Phoenix, IL",(708)388-2223 ,(708)388-2224 ,,sales@sterlingsolutions.com 
222,"Stetson Hardwoods, Inc. ",Distribution/Concentration Yard,,"Stetsonville, WI",(715)678-2400 ,(715)678-2430 ,,jasonb@stetsonhardwoods.com 
223,"Swaner Hardwood Company, Inc. ",Distribution/Concentration Yard,,"Burbank, CA",(818)953-5350 ,(818)846-3662 ,,
224,Sweeney Hardwoods ,Distribution/Concentration Yard,,"Fort Worth, TX",(817)838-3095 (800)580-2352 ,(817)838-0325 ,,
225,"Sweetwater Lumber & Land Co., Inc. ",Distribution/Concentration Yard,,"Austell, GA",(770)941-4932 ,(770)739-4148 ,,gail.naylor@sweetwaterlumber.com 
226,"Tanner Lumber Co., L.L.C. ",Distribution/Concentration Yard,,"Elkins, WV",(304)636-1088 (800)732-3346 ,(304)636-4738 ,,
227,Taylor-Made Lumber Company ,Distribution/Concentration Yard,,"Maplesville, AL",(800)239-4221 ,(334)366-2177 ,,
228,TBM Hardwoods ,Distribution/Concentration Yard,,"Hanover, PA",(717)630-0025 (800)233-5137 ,(717)630-9706 ,,
229,Tennessee Valley Wood Products ,Distribution/Concentration Yard,,"Huntland, TN",(931)469-7777 ,(931)469-7792 ,,
230,The Mann and Parker Lumber Co. ,Distribution/Concentration Yard,,"New Freedom, PA",(717)235-4834 ,(717)235-5547 ,,
231,The Mann and Parker Lumber Co. ,Distribution/Concentration Yard,,"New Freedom, PA",(717)235-4834 ,(717)235-5547 ,,
232,Thomas & Proetz Lumber Co. ,Distribution/Concentration Yard,,"St. Louis, MO",(314)231-9343 ,(314)231-0313 ,,
233,Tidewater Lumber & Moulding ,Distribution/Concentration Yard,,"Greenville, SC",(864)987-9663 ,(864)987-0685 ,,
234,"Tioga Hardwoods, Inc. ",Distribution/Concentration Yard,,"Berkshire, NY",(607)657-8686 ,(607)657-2532 ,,tiogahdw@tiogahardwoods.com 
235,TM Wood Products ,Distribution/Concentration Yard,,"Cabot, AR",(501)941-3706 ,(501)941-0823 ,,tmwoodproducts2007@yahoo.com 
236,Toal Lumber Company ,Distribution/Concentration Yard,,"Whittier, CA",(562)945-3889 ,(562)693-5528 ,,
237,"Tradewinds International, Inc. ",Distribution/Concentration Yard,,"Conover, NC",(828)465-2300 ,(828)464-1122 ,,twi@tradewindsintl.com 
238,Trout River Lumber ,Distribution/Concentration Yard,,"Crewe, VA",(434)645-2600 ,(434)645-2603 ,,dalehudson@troutriverlumber.com 
239,"UCS Forest Group (Sierra Forest Products, Upper Canada Forest Products, UCS Global, A&M Wood Specialty) ",Distribution/Concentration Yard,,"Mississauga, ON",(905)814-8000 ,(905)814-8788 ,,sales_toronto@ucfp.com 
240,Valencia Lumber and Panel ,Distribution/Concentration Yard,,"Van Nuys, CA",(866)811-2909 ,(818)786-5801 ,,
241,"Walter M. Fields Lumber Co., Inc. ",Distribution/Concentration Yard,,"Memphis, TN",(901)948-7751 ,(901)948-7752 ,,
242,"Wappoo Wood Products, inc. ",Distribution/Concentration Yard,,"Sidney, OH",(937)492-1166 ,(937)492-9144 ,,
243,"Weaber, Inc. ",Distribution/Concentration Yard,,"Lebanon, PA",(717)867-4693 ,(717)867-1711 ,,rseroski@weaberlumber.com 
244,West Penn Hardwoods ,Distribution/Concentration Yard,,"Conover, NC",(828)322-9663 ,(828)322-2369 ,,
245,West Tennessee Lumber Company ,Distribution/Concentration Yard,,"Adamsville, TN",(731)632-1688 ,(901)284-0015 ,,michaeltnorris@gmail.com 
246,"Westcoast Hardwoods, LLC ",Distribution/Concentration Yard,,"Sunriver, OR",(541)323-3838 ,(541)323-3840 ,,scott@westcoasthardwoods.net 
247,Weston Premium Woods (A Div. of Richelieu Hardware Canada) ,Distribution/Concentration Yard,,"Brampton, ON",(905)792-9797 ,(905)792-8984 ,,
248,"White Brothers, Inc. ",Distribution/Concentration Yard,,"Oakland, CA",(510)261-1600 ,(510)532-7983 ,,
249,White Pine Lumber Co. ,Distribution/Concentration Yard,,"Romeoville, IL",(630)759-0300 ,(630)759-8533 ,,whitepinejack@msn.com 
250,Whitesville Wood Products ,Distribution/Concentration Yard,,"Whitesville, NY",(607)356-3205 ,(607)356-3205 ,,whitesvillewood@yahoo.com 
251,"Wilson Lumber Co., Inc. ",Distribution/Concentration Yard,,"Memphis, TN",(901)274-6887 ,(901)274-6850 ,,wlumber@cypressusa.com 
252,"Wolverine Hardwoods, Inc. ",Distribution/Concentration Yard,,"Allegan, MI",(269)686-7004 ,(269)686-7944 ,,
253,Wood & Supply ,Distribution/Concentration Yard,,"Dickson, TN",(615)446-3461 (800)603-8969 ,(615)441-5814 ,,ghillenmeyer@midtnlumber.com 
254,Woody Forest Products ,Distribution/Concentration Yard,,"Buckhannon, WV",(304)472-4400 ,(304)472-5127 ,,
255,Wurth Wood Group - Charlotte ,Distribution/Concentration Yard,,"Charlotte, NC",(704)394-2338 ,(704)398-2162 ,,sarmstrong@wurthwoodgroup.com 
256,"Y & Y Hardwoods, LLC ",Distribution/Concentration Yard,,"Thomasville, NC",(336)476-6104 ,(336)476-6103 ,,
257,Yellow Springs Hardwood ,Distribution/Concentration Yard,,"Williamsburg, PA",(814)937-2043 ,(814)832-2811 ,,
258,Youngblood Lumber Company ,Distribution/Concentration Yard,,"Minneapolis, MN",(612)789-3521 ,(612)789-9625 ,,
